Product ID,Week_Start,Forecast_Units
P0005,2024-02-19,5025.8113721942655
P0006,2024-02-19,4823.4596623274265
P0007,2024-02-19,3598.936202732857
P0008,2024-02-19,5016.428462782284
P0009,2024-02-19,5015.886189888547
P0010,2024-02-19,4879.066751184031
P0011,2024-02-19,4812.866318315736
P0012,2024-02-19,4336.400696388253
P0013,2024-02-19,5351.888663225777
P0014,2024-02-19,5140.558764895795
P0015,2024-02-19,4817.293348711475
P0016,2024-02-19,3976.5896066221617
P0017,2024-02-19,4399.9171177663575
P0018,2024-02-19,4224.273166971437
P0019,2024-02-19,4904.317355166037
P0020,2024-02-19,4817.746653362198
P0001,2024-02-26,5040.835730051866
P0002,2024-02-26,4356.045595485204
P0003,2024-02-26,4274.982414063794
P0004,2024-02-26,4862.871107983961
P0005,2024-02-26,5116.924879750389
P0006,2024-02-26,4743.011926786665
P0007,2024-02-26,3559.433991047388
P0008,2024-02-26,4935.305502759668
P0009,2024-02-26,4861.741710911521
P0010,2024-02-26,4899.375749273847
P0011,2024-02-26,4812.866318315736
P0012,2024-02-26,4447.237190396128
P0013,2024-02-26,5385.52346537144
P0014,2024-02-26,5074.203458561486
P0015,2024-02-26,4970.916381185875
P0016,2024-02-26,4101.280075105738
P0017,2024-02-26,4401.6420632785575
P0018,2024-02-26,4288.828005553197
P0019,2024-02-26,4823.220556588565
P0020,2024-02-26,4812.821174357557
